,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2020-09-22,20.959999084472656,21.350000381469727,20.75,20.799999237060547,20.799999237060547,47207700.0,PETR4.SA,22.806639,22.799999237060543,2.0066394805908203,0.0
2020-10-15,19.6200008392334,19.770000457763672,19.440000534057617,19.75,19.75,56952100.0,PETR4.SA,28.28732,29.637603759765625,8.53731918334961,0.0
2020-11-06,19.549999237060547,19.950000762939453,19.540000915527344,19.719999313354492,19.719999313354492,25635300.0,PETR4.SA,25.111856,26.888010025024414,5.391857147216797,0.0
2020-11-09,21.110000610351562,22.690000534057617,21.040000915527344,21.610000610351562,21.610000610351562,164904100.0,PETR4.SA,29.249838,30.327756881713864,7.639837265014648,0.0
2020-11-16,23.200000762939453,23.6299991607666,23.1299991607666,23.290000915527344,23.290000915527344,101583300.0,PETR4.SA,27.744823,26.003128051757816,4.454822540283203,0.0
2020-11-17,23.049999237060547,24.139999389648438,22.979999542236328,23.690000534057617,23.690000534057617,94082100.0,PETR4.SA,23.258759,21.469573974609375,0.0,0.4312419891357422
2020-11-19,23.549999237060547,23.940000534057617,23.3700008392334,23.81999969482422,23.81999969482422,65382100.0,PETR4.SA,19.121365,18.66963005065918,0.0,4.698635101318359
2020-11-26,25.940000534057617,25.950000762939453,25.559999465942383,25.81999969482422,25.81999969482422,41935900.0,PETR4.SA,17.42379,17.31871795654297,0.0,8.396209716796875
2020-12-01,25.399999618530273,25.770000457763672,25.290000915527344,25.600000381469727,25.600000381469727,58866000.0,PETR4.SA,27.981966,29.608016967773438,2.3819656372070312,0.0
2020-12-03,26.149999618530273,26.889999389648438,26.049999237060547,26.639999389648438,26.639999389648438,62424500.0,PETR4.SA,22.830061,22.920000076293945,0.0,3.809938430786133
